2024-09-19 12:32:04,943: 'h'
2024-09-19 12:32:05,144: 'b'
2024-09-19 12:32:06,283: Key.backspace
2024-09-19 12:32:06,529: Key.backspace
2024-09-19 12:32:09,488: 'o'
2024-09-19 12:32:09,588: 'k'
2024-09-19 12:32:09,739: 'o'
2024-09-19 12:32:09,846: 'k'
2024-09-19 12:32:09,966: 'o'
2024-09-19 12:32:10,036: 'k'
2024-09-19 12:32:11,570: Key.ctrl_l
2024-09-19 12:32:11,770: '\x03'
2024-09-19 12:32:22,348: Key.ctrl_l
2024-09-19 12:32:23,246: '\x03'
2024-09-19 12:32:23,626: '\x03'
2024-09-19 12:32:23,839: '\x03'
2024-09-19 12:32:23,980: '\x03'
2024-09-19 12:34:52,980: Key.ctrl_l
2024-09-19 12:34:53,318: '\x03'
2024-09-19 12:35:20,409: 'o'
2024-09-19 12:35:20,485: 'k'
2024-09-19 12:35:20,759: 'k'
2024-09-19 12:35:20,946: 'o'
2024-09-19 12:35:20,983: 'k'
2024-09-19 12:35:21,104: 'o'
2024-09-19 12:35:21,174: 'k'
2024-09-19 12:35:21,288: 'o'
2024-09-19 12:35:21,358: 'k'
2024-09-19 12:35:21,471: 'o'
2024-09-19 12:35:21,550: 'k'
2024-09-19 12:35:21,660: 'o'
2024-09-19 12:35:21,740: 'k'
2024-09-19 12:35:21,839: 'o'
2024-09-19 12:35:21,925: 'k'
2024-09-19 12:35:22,350: 'd'
2024-09-19 12:35:22,366: 'v'
2024-09-19 12:35:22,366: 's'
2024-09-19 12:35:22,532: 'k'
2024-09-19 12:35:22,533: 'j'
2024-09-19 12:35:22,564: 'v'
2024-09-19 12:35:22,611: 'g'
2024-09-19 12:35:22,645: 'n'
2024-09-19 12:35:22,753: 'e'
2024-09-19 12:35:22,768: 'f'
2024-09-19 12:35:22,768: 'j'
2024-09-19 12:35:22,878: 'g'
2024-09-19 12:35:22,894: 'h'
2024-09-19 12:35:22,972: 'j'
2024-09-19 12:35:22,972: 'f'
2024-09-19 12:35:23,004: 'd'
2024-09-19 12:35:23,061: 'n'
2024-09-19 12:35:23,076: 'g'
2024-09-19 12:35:23,186: 'i'
2024-09-19 12:35:23,202: 'u'
2024-09-19 12:35:23,217: 'f'
2024-09-19 12:35:23,233: 'u'
2024-09-19 12:35:23,374: 'g'
2024-09-19 12:35:23,469: 'n'
2024-09-19 12:35:23,589: 'j'
2024-09-19 12:35:23,604: 'b'
2024-09-19 12:35:23,667: 'f'
2024-09-19 12:35:23,667: 'j'
2024-09-19 12:35:23,730: 'g'
2024-09-19 12:35:23,746: 'n'
2024-09-19 12:35:23,871: 'j'
2024-09-19 12:35:23,966: 'b'
2024-09-19 12:35:23,966: 'g'
2024-09-19 12:35:24,029: 'i'
2024-09-19 12:35:24,689: Key.ctrl_l
2024-09-19 12:35:24,940: '\x03'
